"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","AA/AO","AO","15","15","21470","22920"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","EO","EO","245","245","26520","27270"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","G6/G7","G6","40","40","65970","66230"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","G6/G7","G7","240","240","53110","53360"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","SEO/HEO","HEO","510","510","31970","32790"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","SEO/HEO","SEO","180","180","39820","40650"
"In post","2021","20-29","Disclosure Scotland","AA/AO","AA","55","50","20910","21150"
"In post","2021","20-29","Disclosure Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Disclosure Scotland","EO","EO","5","5","[c]","[c]"
"In post","2021","20-29","Disclosure Scotland","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Disclosure Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","AA/AO","AA","165","150","18230","18060"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","AA/AO","AO","450","430","21590","21590"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","EO","EO","105","105","26420","26350"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","SEO/HEO","HEO","50","50","32000","31040"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","SEO/HEO","SEO","20","20","42160","41140"
"In post","2021","20-29","Driver and Vehicle Standards Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Standards Agency","AA/AO","AO","140","140","23590","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","EO","EO","95","90","26810","26350"
"In post","2021","20-29","Driver and Vehicle Standards Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Standards Agency","SEO/HEO","HEO","30","30","31870","31380"
"In post","2021","20-29","Driver and Vehicle Standards Agency","SEO/HEO","SEO","10","10","44200","43830"
"In post","2021","20-29","Education and Skills Funding Agency","AA/AO","AO","10","10","21310","21000"
"In post","2021","20-29","Education and Skills Funding Agency","EO","EO","70","70","25760","25000"
"In post","2021","20-29","Education and Skills Funding Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Education and Skills Funding Agency","G6/G7","G7","25","25","51410","50130"
"In post","2021","20-29","Education and Skills Funding Agency","SEO/HEO","HEO","120","120","30760","30090"
"In post","2021","20-29","Education and Skills Funding Agency","SEO/HEO","SEO","75","75","37660","36780"
"In post","2021","20-29","Education Scotland","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","20-29","Education Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Education Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Education Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","AA/AO","AO","20","20","22810","22440"
"In post","2021","20-29","FCDO Services","EO","EO","60","60","27330","26650"
"In post","2021","20-29","FCDO Services","SEO/HEO","HEO","15","15","33830","34020"
"In post","2021","20-29","FCDO Services","SEO/HEO","SEO","10","10","[c]","[c]"
