"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","Debt","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Debt","West Midlands (England)","Outside London","20","15","[c]","[c]"
"In post","2021","Black","Debt","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","London","London","235","235","40990","36800"
"In post","2021","Black","Digital, Data & Technology","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Scotland","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Wales","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Finance","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Finance","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Finance","London","London","255","250","41270","37990"
"In post","2021","Black","Finance","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Finance","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Black","Finance","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Finance","Yorkshire and The Humber","Outside London","15","10","[c]","[c]"
"In post","2021","Black","Grants Management","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","East of England","Outside London","[c]","[c]","[c]","[c]"
