"Status","Year","Age","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Debt Management Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","London","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Debt Management Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","AA","15","15","18620","18730"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Outside London","EO","1040","1030","22520","21470"
"In post","2021","20-29","Defence Equipment and Support","Outside London","G7","10","10","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Outside London","HEO","780","775","29160","29650"
"In post","2021","20-29","Defence Equipment and Support","Outside London","SEO","210","210","37680","37400"
"In post","2021","20-29","Defence Equipment and Support","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","AA","15","15","16690","16990"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","AO","60","60","18920","17710"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","EO","85","85","22600","22780"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","G7","20","20","43870","46080"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","HEO","535","535","28090","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","SEO","190","185","37370","37320"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AO","20","20","24740","24900"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","145","145","28460","27680"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6","25","25","65810","64700"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G7","450","450","55130","53380"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","HEO","690","685","34330","33570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO","415","415","40920","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","30","30","24730","24570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","HEO","20","20","30630","30360"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","EO","95","95","27630","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","G6","15","15","64560","61980"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","G7","175","175","55800","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","HEO","360","360","37130","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","HEO","15","15","35120","34020"
"In post","2021","20-29","Department for Education (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","London","EO","135","130","28990","28500"
