"Status","Year","Ethnicity","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","International Trade","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Transport (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Work and Pensions (excl. agencies)","Unknown","London","10","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","25","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Commercial","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Medicine","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Statistics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Department of Health and Social Care (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Disclosure Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Medicine","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Licensing Agency","Security","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Driver and Vehicle Standards Agency","Property","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education and Skills Funding Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Education Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","ESTYN","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","ESTYN","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Counter Fraud","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Economics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Legal","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Social Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Agency","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Food Standards Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Forestry and Land Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Actuary's Department","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Actuary's Department","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Actuary's Department","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Actuary's Department","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Communications","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Counter Fraud","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Internal Audit","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Internal Audit Agency","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Communications","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Legal","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Legal Department","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Planning","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Planning","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Government Property Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Property","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Health and Safety Executive","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Legal","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Legal","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Planning","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Property","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Courts and Tribunals Service","Social Research","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Commercial","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Communications","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Legal","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Legal","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Other","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Other","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Land Registry","Property","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Commercial","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Human Resources","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Psychology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Psychology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Security","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Security","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Unknown","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Prison and Probation Service","Unknown","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Finance","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Internal Audit","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","International Trade","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Legal","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","HM Revenue and Customs (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
