"Status","Year","Disability","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Chinese","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Revenue and Customs","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Home Office","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Housing, Communities and Local Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Justice","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Attorney General's Departments","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Attorney General's Departments","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Cabinet Office","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Cabinet Office","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
