"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","20-29","Security","EO","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","EO","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","EO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","SEO/HEO","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Security","SEO/HEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","AA/AO","Heterosexual / straight","2100","[c]","21560","21010"
"New entrant CS","2021","20-29","Unknown","AA/AO","LGBO","305","[c]","21400","21010"
"New entrant CS","2021","20-29","Unknown","AA/AO","Undeclared","135","[c]","21500","21010"
"New entrant CS","2021","20-29","Unknown","AA/AO","Unknown","600","[c]","21560","21430"
"New entrant CS","2021","20-29","Unknown","EO","Heterosexual / straight","2840","[c]","28670","27570"
"New entrant CS","2021","20-29","Unknown","EO","LGBO","405","[c]","28350","27570"
"New entrant CS","2021","20-29","Unknown","EO","Undeclared","190","[c]","28520","27570"
"New entrant CS","2021","20-29","Unknown","EO","Unknown","785","[c]","27890","27570"
"New entrant CS","2021","20-29","Unknown","G6/G7","Heterosexual / straight","30","[c]","53980","53100"
"New entrant CS","2021","20-29","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","G6/G7","Unknown","45","[c]","55920","57430"
"New entrant CS","2021","20-29","Unknown","SEO/HEO","Heterosexual / straight","305","[c]","34280","33910"
"New entrant CS","2021","20-29","Unknown","SEO/HEO","LGBO","50","[c]","33650","32390"
"New entrant CS","2021","20-29","Unknown","SEO/HEO","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","SEO/HEO","Unknown","315","[c]","34660","35050"
"New entrant CS","2021","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Unknown","Unknown","110","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","EO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","EO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","G6/G7","Heterosexual / straight","20","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
