"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Business, Energy and Industrial Strategy","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Transport","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Transport","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Housing, Communities and Local Government","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice","Male","40","[c]","46080","40480"
"Leaver Dept.","2021","Finance","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Department for Environment, Food and Rural Affairs","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Department for Environment, Food and Rural Affairs","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Attorney General's Departments","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office","Female","115","[c]","37840","32910"
"Leaver Dept.","2021","Human Resources","Cabinet Office","Male","60","[c]","37490","32910"
"Leaver Dept.","2021","Human Resources","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Female","30","[c]","35690","31080"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice","Female","50","[c]","40430","34570"
"Leaver Dept.","2021","Human Resources","Ministry of Justice","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","HM Treasury","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Female","90","[c]","41700","37730"
"Leaver Dept.","2021","Legal","Attorney General's Departments","Male","55","[c]","47590","51250"
"Leaver Dept.","2021","Legal","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Government","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Government","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Cabinet Office","Female","545","[c]","38690","32000"
"Leaver Dept.","2021","No function","Cabinet Office","Male","430","[c]","39760","32000"
"Leaver Dept.","2021","No function","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Female","225","[c]","42210","39080"
"Leaver Dept.","2021","No function","Department for Business, Energy and Industrial Strategy","Male","230","[c]","44420","40050"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","Female","90","[c]","46200","49600"
"Leaver Dept.","2021","No function","Department for Digital, Culture, Media and Sport","Male","70","[c]","46970","49600"
"Leaver Dept.","2021","No function","Department for Education","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Education","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs","Female","220","[c]","38950","34700"
"Leaver Dept.","2021","No function","Department for Environment, Food and Rural Affairs","Male","175","[c]","38370","34680"
"Leaver Dept.","2021","No function","Department for International Trade","Female","90","[c]","43640","38540"
"Leaver Dept.","2021","No function","Department for International Trade","Male","105","[c]","44760","38600"
"Leaver Dept.","2021","No function","Department for Transport","Female","75","[c]","25420","21590"
