"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","EO","Female","10","10","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","EO","Male","10","10","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","G6/G7","Female","35","30","59900","58920"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","G6/G7","Male","50","50","60360","58600"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","SCS level","Female","10","10","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","SCS level","Male","10","10","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","50-59","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","50-59","Department for Education","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","50-59","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Education","EO","Female","110","105","27180","26000"
"In post","2021","50-59","Department for Education","EO","Male","45","45","27080","26000"
"In post","2021","50-59","Department for Education","G6/G7","Female","340","325","56560","54310"
"In post","2021","50-59","Department for Education","G6/G7","Male","350","345","58760","56860"
"In post","2021","50-59","Department for Education","SCS level","Female","45","45","87970","76330"
"In post","2021","50-59","Department for Education","SCS level","Male","40","40","93000","85890"
"In post","2021","50-59","Department for Education","SEO/HEO","Female","465","445","35540","36500"
"In post","2021","50-59","Department for Education","SEO/HEO","Male","280","280","36680","37100"
"In post","2021","50-59","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Department for Education","Unknown","Male","5","5","[c]","[c]"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","AA/AO","Female","320","285","21670","21050"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","AA/AO","Male","180","175","21680","21050"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","EO","Female","280","260","26410","26030"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","EO","Male","190","185","26720","26520"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","G6/G7","Female","295","285","54790","53870"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","G6/G7","Male","395","395","55980","54700"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","SCS level","Female","30","30","90380","79220"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","SCS level","Male","35","35","87510","80110"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","475","450","35510","35900"
"In post","2021","50-59","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","475","470","35780","35900"
"In post","2021","50-59","Department for International Trade","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","50-59","Department for International Trade","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","50-59","Department for International Trade","EO","Female","35","35","28260","28650"
"In post","2021","50-59","Department for International Trade","EO","Male","25","25","[c]","[c]"
"In post","2021","50-59","Department for International Trade","G6/G7","Female","65","65","58060","57170"
"In post","2021","50-59","Department for International Trade","G6/G7","Male","100","100","58200","58690"
"In post","2021","50-59","Department for International Trade","SCS level","Female","20","20","[c]","[c]"
"In post","2021","50-59","Department for International Trade","SCS level","Male","25","25","[c]","[c]"
"In post","2021","50-59","Department for International Trade","SEO/HEO","Female","65","60","36600","35560"
"In post","2021","50-59","Department for International Trade","SEO/HEO","Male","100","100","37130","35560"
"In post","2021","50-59","Department for Transport","AA/AO","Female","785","655","20860","21590"
"In post","2021","50-59","Department for Transport","AA/AO","Male","545","525","24090","21590"
"In post","2021","50-59","Department for Transport","EO","Female","455","420","27350","26780"
"In post","2021","50-59","Department for Transport","EO","Male","885","865","28610","26780"
"In post","2021","50-59","Department for Transport","G6/G7","Female","150","145","60800","55320"
"In post","2021","50-59","Department for Transport","G6/G7","Male","335","330","64350","60860"
"In post","2021","50-59","Department for Transport","SCS level","Female","35","30","92480","80980"
"In post","2021","50-59","Department for Transport","SCS level","Male","35","35","99470","87410"
"In post","2021","50-59","Department for Transport","SEO/HEO","Female","365","355","37120","36180"
"In post","2021","50-59","Department for Transport","SEO/HEO","Male","610","605","39050","37960"
"In post","2021","50-59","Department for Work and Pensions","AA/AO","Female","7205","5935","21080","21010"
"In post","2021","50-59","Department for Work and Pensions","AA/AO","Male","2920","2770","21110","21010"
"In post","2021","50-59","Department for Work and Pensions","EO","Female","11740","10400","28040","27570"
"In post","2021","50-59","Department for Work and Pensions","EO","Male","4940","4770","28130","27570"
"In post","2021","50-59","Department for Work and Pensions","G6/G7","Female","695","670","55550","53430"
"In post","2021","50-59","Department for Work and Pensions","G6/G7","Male","760","750","58940","57510"
"In post","2021","50-59","Department for Work and Pensions","SCS level","Female","60","55","87120","79380"
