"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","London","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
