"Status","Year","Region_ITL1","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North West (England)","EO","Male","Undeclared","635","600","27300","27380"
"In post","2021","North West (England)","EO","Male","Unknown","1705","1635","27110","27570"
"In post","2021","North West (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Female","Heterosexual / straight","1700","1620","55500","52580"
"In post","2021","North West (England)","G6/G7","Female","LGBO","70","70","56470","54540"
"In post","2021","North West (England)","G6/G7","Female","Undeclared","130","125","56580","53150"
"In post","2021","North West (England)","G6/G7","Female","Unknown","385","365","54940","52580"
"In post","2021","North West (England)","G6/G7","Male","Heterosexual / straight","1530","1500","57280","53430"
"In post","2021","North West (England)","G6/G7","Male","LGBO","100","100","56890","53430"
"In post","2021","North West (England)","G6/G7","Male","Undeclared","205","200","56930","53630"
"In post","2021","North West (England)","G6/G7","Male","Unknown","440","430","56960","53350"
"In post","2021","North West (England)","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS level","Female","Heterosexual / straight","90","85","86710","81330"
"In post","2021","North West (England)","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","North West (England)","SCS level","Female","Unknown","30","30","76830","74500"
"In post","2021","North West (England)","SCS level","Male","Heterosexual / straight","100","100","91180","88430"
"In post","2021","North West (England)","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2021","North West (England)","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","North West (England)","SCS level","Male","Unknown","35","35","84880","74000"
"In post","2021","North West (England)","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
