"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Statistics","G7","35","35","56200","56150"
"In post","2021","Declared disabled","Statistics","HEO","45","40","33530","32160"
"In post","2021","Declared disabled","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","SEO","50","45","40320","39850"
"In post","2021","Declared disabled","Tax","AO","160","145","20600","20140"
"In post","2021","Declared disabled","Tax","EO","310","280","27030","25560"
"In post","2021","Declared disabled","Tax","G6","45","40","66850","64670"
"In post","2021","Declared disabled","Tax","G7","185","175","53710","52580"
"In post","2021","Declared disabled","Tax","HEO","475","440","33120","31810"
"In post","2021","Declared disabled","Tax","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Tax","SEO","180","170","39540","38630"
"In post","2021","Declared disabled","Unknown","AA","225","200","20950","20230"
"In post","2021","Declared disabled","Unknown","AO","5265","4465","21230","21010"
"In post","2021","Declared disabled","Unknown","EO","8795","7835","28040","27570"
"In post","2021","Declared disabled","Unknown","G6","205","200","69060","67930"
"In post","2021","Declared disabled","Unknown","G7","585","560","54530","54700"
"In post","2021","Declared disabled","Unknown","HEO","1635","1535","33710","33180"
"In post","2021","Declared disabled","Unknown","SCS level","90","90","89910","80290"
"In post","2021","Declared disabled","Unknown","SEO","685","645","40250","39910"
"In post","2021","Declared disabled","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","SEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AO","145","135","22100","21590"
"In post","2021","Declared non-disabled","Commercial","EO","480","460","25990","26510"
"In post","2021","Declared non-disabled","Commercial","G6","220","215","70170","67320"
"In post","2021","Declared non-disabled","Commercial","G7","480","465","54740","53500"
"In post","2021","Declared non-disabled","Commercial","HEO","865","840","32440","33000"
"In post","2021","Declared non-disabled","Commercial","SCS level","65","65","90190","83090"
"In post","2021","Declared non-disabled","Commercial","SEO","1105","1070","42020","41100"
"In post","2021","Declared non-disabled","Commercial","Unknown","155","150","38350","35230"
"In post","2021","Declared non-disabled","Communications","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","AO","145","135","22370","21590"
"In post","2021","Declared non-disabled","Communications","EO","370","350","27540","26930"
"In post","2021","Declared non-disabled","Communications","G6","155","150","67830","68700"
"In post","2021","Declared non-disabled","Communications","G7","460","440","54940","54470"
"In post","2021","Declared non-disabled","Communications","HEO","670","650","34560","33610"
"In post","2021","Declared non-disabled","Communications","SCS level","75","75","85920","80790"
"In post","2021","Declared non-disabled","Communications","SEO","665","645","41510","40990"
