"Status","Year","Age","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Commercial","Devon","Outside London","15","15","33000","33510"
"In post","2021","20-29","Commercial","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","East Anglia","Outside London","35","35","27940","27770"
"In post","2021","20-29","Commercial","East Wales","Outside London","15","15","29500","28160"
"In post","2021","20-29","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Eastern Scotland","Outside London","25","20","25660","22430"
"In post","2021","20-29","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","195","195","29710","27910"
"In post","2021","20-29","Commercial","Greater Manchester","Outside London","55","55","34140","31810"
"In post","2021","20-29","Commercial","Hampshire and Isle of Wight","Outside London","60","60","27780","26670"
"In post","2021","20-29","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Inner London - East","London","40","40","34700","34550"
"In post","2021","20-29","Commercial","Inner London - West","London","215","210","42700","40600"
"In post","2021","20-29","Commercial","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Merseyside","Outside London","40","40","27940","27770"
"In post","2021","20-29","Commercial","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Outer London - South","London","10","10","36570","33310"
"In post","2021","20-29","Commercial","Outer London - West and North West","London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Shropshire and Staffordshire","Outside London","15","15","27230","26510"
"In post","2021","20-29","Commercial","South Yorkshire","Outside London","15","15","36220","36500"
"In post","2021","20-29","Commercial","Southern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Surrey, East and West Sussex","Outside London","10","5","[c]","[c]"
"In post","2021","20-29","Commercial","Tees Valley and Durham","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Central Scotland","Outside London","30","30","28980","30430"
"In post","2021","20-29","Commercial","West Midlands","Outside London","20","20","29300","28100"
"In post","2021","20-29","Commercial","West Wales and The Valleys","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","West Yorkshire","Outside London","40","40","32530","28970"
"In post","2021","20-29","Communications","Bedfordshire and Hertfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","27620","26630"
"In post","2021","20-29","Communications","Cumbria","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Derbyshire and Nottinghamshire","Outside London","160","160","26830","25560"
"In post","2021","20-29","Communications","Devon","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Dorset and Somerset","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Communications","East Anglia","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","East Wales","Outside London","230","230","27180","25560"
"In post","2021","20-29","Communications","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","30","30","28810","26550"
"In post","2021","20-29","Communications","Greater Manchester","Outside London","170","170","27870","25560"
"In post","2021","20-29","Communications","Hampshire and Isle of Wight","Outside London","20","20","27950","26670"
"In post","2021","20-29","Communications","Inner London - East","London","50","50","34540","33610"
"In post","2021","20-29","Communications","Inner London - West","London","610","605","36400","34710"
"In post","2021","20-29","Communications","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Merseyside","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Communications","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northumberland and Tyne and Wear","Outside London","370","365","26750","25560"
"In post","2021","20-29","Communications","Outer London - South","London","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Outer London - West and North West","London","15","15","24240","20340"
"In post","2021","20-29","Communications","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South Yorkshire","Outside London","10","10","27330","25000"
"In post","2021","20-29","Communications","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Surrey, East and West Sussex","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Tees Valley and Durham","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands","Outside London","75","75","27560","25560"
"In post","2021","20-29","Communications","West Wales and The Valleys","Outside London","15","15","27060","26350"
"In post","2021","20-29","Communications","West Yorkshire","Outside London","215","210","26790","25560"
