"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Policy","London","LGBO","60","60","44900","40510"
"In post","2021","Asian","Policy","London","Undeclared","70","70","40080","35070"
"In post","2021","Asian","Policy","London","Unknown","75","75","45240","39800"
"In post","2021","Asian","Policy","Outside London","Heterosexual / straight","235","225","37830","36340"
"In post","2021","Asian","Policy","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Policy","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Policy","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Policy","Overseas","Heterosexual / straight","55","55","48070","50970"
"In post","2021","Asian","Policy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Heterosexual / straight","400","390","42590","38660"
"In post","2021","Asian","Project Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Heterosexual / straight","305","300","38120","36340"
"In post","2021","Asian","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
